"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-15.49045,144.52783,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-15.430614,144.513015,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-15.564494,144.478877,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-19.266667,146.816667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.266666,146.816666,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17.0667,145.3667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
