"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-33.93333,151.08169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.81806,151.21694,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.8,151.15,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86333,151.24,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87167,151.175,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.75833,151.08331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.91,151.18331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-30.08333,145.9333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86,151.2,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88334,151.1833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88444,151.15167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.6,151.00083,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.80333,151.11667,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86,151.10669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-34.55,142.46669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.7,150.95,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.75167,151.08,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.79333,151.11,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.955,151.015,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.81667,151.1,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.85167,151.18169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86667,151.2,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
