id,year,month,day,hour,minute,second,Etime,Tcham
169,2023,8,31,13,29,57,109,23.84
170,2023,8,31,13,29,58,110,23.84
171,2023,8,31,13,29,59,111,23.76
172,2023,8,31,13,30,0,112,23.84
173,2023,8,31,13,30,1,113,23.76
174,2023,8,31,13,30,2,114,23.84
175,2023,8,31,13,30,3,115,23.84
176,2023,8,31,13,30,4,116,23.84
177,2023,8,31,13,30,5,117,23.84
178,2023,8,31,13,30,6,118,23.67
179,2023,8,31,13,30,7,119,23.84
180,2023,8,31,13,30,8,120,23.84
181,2023,8,31,13,30,9,121,23.76
182,2023,8,31,13,30,10,122,23.76
183,2023,8,31,13,30,11,123,23.76
184,2023,8,31,13,30,12,124,23.76
185,2023,8,31,13,30,13,125,23.76
186,2023,8,31,13,30,14,126,23.84
187,2023,8,31,13,30,15,127,23.84
188,2023,8,31,13,30,16,128,23.76
189,2023,8,31,13,30,17,129,23.84
190,2023,8,31,13,30,18,130,23.76
191,2023,8,31,13,30,19,131,23.84
192,2023,8,31,13,30,20,132,23.84
193,2023,8,31,13,30,21,133,23.76
194,2023,8,31,13,30,22,134,23.76
195,2023,8,31,13,30,23,135,23.84
196,2023,8,31,13,30,25,136,23.76
197,2023,8,31,13,30,26,137,23.76
198,2023,8,31,13,30,27,138,23.76
199,2023,8,31,13,30,28,139,23.84
200,2023,8,31,13,30,29,140,23.84
201,2023,8,31,13,30,30,141,23.84
202,2023,8,31,13,30,31,142,23.84
203,2023,8,31,13,30,32,143,23.76
204,2023,8,31,13,30,33,144,23.84
205,2023,8,31,13,30,34,145,23.84
206,2023,8,31,13,30,35,146,23.76
207,2023,8,31,13,30,36,147,23.84
208,2023,8,31,13,30,37,148,23.76
209,2023,8,31,13,30,38,149,23.84
210,2023,8,31,13,30,39,150,23.84
211,2023,8,31,13,30,40,151,23.84
212,2023,8,31,13,30,41,152,23.84
213,2023,8,31,13,30,42,153,23.84
214,2023,8,31,13,30,43,154,23.84
215,2023,8,31,13,30,44,155,23.84
216,2023,8,31,13,30,45,156,23.84
217,2023,8,31,13,30,46,157,23.84
218,2023,8,31,13,30,47,158,23.76
219,2023,8,31,13,30,48,159,23.84
220,2023,8,31,13,30,49,160,23.84
221,2023,8,31,13,30,50,161,23.76
222,2023,8,31,13,30,51,162,23.84
223,2023,8,31,13,30,52,163,23.76
224,2023,8,31,13,30,53,164,23.84
225,2023,8,31,13,30,54,165,23.84
226,2023,8,31,13,30,55,166,23.76
227,2023,8,31,13,30,56,167,23.76
228,2023,8,31,13,30,57,168,23.76
229,2023,8,31,13,30,58,169,23.84
230,2023,8,31,13,30,59,170,23.84
231,2023,8,31,13,31,1,171,23.84
232,2023,8,31,13,31,2,172,23.76
233,2023,8,31,13,31,3,173,23.84
234,2023,8,31,13,31,4,174,23.84
235,2023,8,31,13,31,5,175,23.84
236,2023,8,31,13,31,6,176,23.76
237,2023,8,31,13,31,7,177,23.76
238,2023,8,31,13,31,8,178,23.76
239,2023,8,31,13,31,9,179,23.84
240,2023,8,31,13,31,10,180,23.76
